filename,sizes

filename,sizes
pphexample.jpg,"['29.7x42', '21x29.7', '14.8x21', '30x40', '45x60']"
filename,sizes
pphexample.jpg,"['29.7x42', '21x29.7', '14.8x21', '30x40', '45x60']"
filename,sizes
pphexample.jpg,"['29.7x42', '21x29.7', '14.8x21', '30x40', '45x60']"
filename,sizes
pphexample.jpg,"['29.7x42', '21x29.7', '14.8x21', '30x40', '45x60']"
filename,sizes
pphexample.jpg,"['29.7x42', '21x29.7', '14.8x21', '30x40', '45x60']"
filename,sizes
pphexample.jpg,"['29.7x42', '21x29.7', '14.8x21', '30x40', '45x60']"
filename,sizes
pphexample.jpg,"['29.7cmx42cm', '21cmx29.7cm', '14.8cmx21cm', '30cmx40cm', '45cmx60cm']"
filename,sizes
pphexample.jpg,"['29.7cmx42cm', '21cmx29.7cm', '14.8cmx21cm', '30cmx40cm', '45cmx60cm']"
filename,sizes
pphexample.jpg,"['29.7cmx42cm', '21cmx29.7cm', '14.8cmx21cm', '30cmx40cm', '45cmx60cm']"
filename,sizes
pphexample.jpg,"['29.7cmx42cm', '21cmx29.7cm', '14.8cmx21cm', '30cmx40cm', '45cmx60cm']"
filename,sizes
pphexample.jpg,"['29.7cmx42cm', '21cmx29.7cm', '14.8cmx21cm', '30cmx40cm', '45cmx60cm']"
filename,sizes
pphexample.jpg,"['29.7cmx42cm', '21cmx29.7cm', '14.8cmx21cm', '30cmx40cm', '45cmx60cm']"
